Path,Accessor,Size,StoredSize,Sha256,Md5,Error,_Components
B:\Windows\System32\winevt\Logs\Microsoft-Windows-DiskDiagnosticDataCollector%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-DiskDiagnosticDataCollector%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-DiskDiagnosticResolver%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-DiskDiagnosticResolver%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EDP-Application-Learning%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EDP-Application-Learning%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EDP-Audit-Regular%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EDP-Audit-Regular%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EDP-Audit-TCB%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EDP-Audit-TCB%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EapHost%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EapHost%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EapMethods-RasChap%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EapMethods-RasChap%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EapMethods-RasTls%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EapMethods-RasTls%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EapMethods-Sim%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EapMethods-Sim%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EapMethods-Ttls%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EapMethods-Ttls%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EnrollmentPolicyWebService%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EnrollmentPolicyWebService%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EnrollmentWebService%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EnrollmentWebService%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-EventCollector%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-EventCollector%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FMS%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FMS%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Fault-Tolerant-Heap%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Fault-Tolerant-Heap%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FeatureConfiguration%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FeatureConfiguration%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FederationServices-Deployment%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FederationServices-Deployment%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FileServices-ServerManager-EventProvider%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FileServices-ServerManager-EventProvider%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FileServices-ServerManager-EventProvider%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FileServices-ServerManager-EventProvider%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-FileShareShadowCopyProvider%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-FileShareShadowCopyProvider%4Operational.evtx""]"
